relationship,politician_edu,politican_rel,mar_status,resp_caste_cat,resp_jati,caste_sc,wm_bef,wm_years,wm_familybefore,wm_familyyears,pol_infamily,self_emp,inc_sor,govt_empinfam,wm_train,wm_app,wm_app_use,wm_watersupply,wm_moneycol,whatsapp,whatsapp_number,whatsapp_self,message,wm_wagroup,join_interestyesno,join_interest,sc_group,scheme_noproblem,scheme_problem,citiprbrt,phone_mukhiya,phone_scret,phone_bpro,phone_lasttimebpro,phone_bdo,phone_lasttimebdo,interaction_gp,candidate_gp_count,interaction_block,candidate_block_count,interaction_samedist,candidate_samedist_count,interaction_outside,candidate_outside_count,acctrt,awasrt,schknwrt,schconfirt,polpref_self,pol_party_part,polpref_supportelec,t_dummy
Child,Undergrad,Hindu,Unmarried,EBC,BC-1/126/तेली (हिन्दू एवं मुस्लिम),No,No,,No,,No,Yes,Work on agri,No,Yes,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,No work done,Nali gali,2,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,5,1,2,3,Yes,No,No,Treatment
Self,Std 5,Hindu,Married,SC,SC/18/मुसहर,Yes,No,,No,,No,No,Agri labor,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,2,No work done,Nali gali,3,Yes,No,No,Didn't speak,No,Didn't speak,No,0,No,0,No,0,No,0,0,2,0,0,No,No,No,Treatment
Spouse,Std 8,Hindu,Married,EBC,BC-1/97/प्रजापति (कुम्हार),No,No,,No,,No,Yes,HH business,No,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Anyone,,No work done,No work done,1,Yes,No,No,Last 6 months,No,Didn't speak,Yes,3,No,0,No,0,No,0,0,2,0,0,Yes,Yes,No,Treatment
Spouse,Std 10,Hindu,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,Yes,1,Yes,1,No,Yes,Work on agri,No,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, once or twice in a day",Yes,Yes,Anyone,2,Nal Jal,Nali gali,1,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,4,1,1,1,No,No,No,Control
Spouse,Undergrad,Hindu,Married,BC,BC-2/4/कुशवाहा (कोईरी),No,No,,Yes,1,Yes,Yes,Service (pvt),No,Yes,Yes,Yes,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,,No work done,Nali gali,1,Yes,Yes,No,Didn't speak,Yes,Last 6 months,Yes,3,No,0,No,0,No,0,4,1,2,1,Yes,Yes,Yes,Control
Self,Std 12,Hindu,Married,SC,SC/7/चौपाल,Yes,Yes,1,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,No,,,,,Yes,same GP,2,Mnrega,No work done,1,Yes,Yes,No,Last 2-3 months,No,Didn't speak,Yes,3,No,0,No,0,No,0,3,1,0,0,No,No,No,Treatment
Self,Undergrad,Hindu,Married,BC,BC-2/4/कुशवाहा (कोईरी),No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Anyone,,No work done,No work done,1,Yes,Yes,No,Didn't speak,Yes,Lst month,Yes,3,No,0,No,0,No,0,4,2,2,2,No,No,No,Control
Spouse,Std 8,Hindu,Married,EBC,BC-1/113/बढई,No,No,,No,,No,Yes,HH service business,No,Yes,No,,PHED,,Yes,same number,Yes,"Yes, once or twice in a day",No,No,,,Nali gali,Nal Jal,1,Yes,Yes,Yes,Last 6 months,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,1,1,0,Yes,Yes,No,Control
Self,Undergrad,Hindu,Married,GEN,ब्राह्मण,No,Yes,2,Yes,1,Yes,Yes,Work on agri,No,Yes,No,,PHED,,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,,Nali gali,No work done,1,Yes,Yes,Yes,More than 6 months,Yes,Lst month,Yes,3,Yes,3,No,3,No,0,6,3,0,2,Yes,Yes,No,Control
Self,Undergrad,Muslim,Unmarried,BC,BC-2/44/मलिक(मुस्लिम),No,No,,No,,No,Yes,HH business,No,Yes,Yes,Yes,Nal Jal,No,Yes,WA number is different,Yes,"Yes, as i receive the message",No,Yes,Other GP but same block,,No work done,No work done,0,No,Yes,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,5,1,1,0,No,No,No,Spillover
Self,Std 11,Hindu,Married,EBC,BC-1/6/कुर्मी (महतो) झारखंड स्वसशासी क्षेत्र,No,Yes,1,Yes,1,No,Yes,HH business,No,Yes,Yes,No,Nal Jal,Yes,Yes,same number,Yes,"Yes, once or twice in a day",Yes,Yes,Other gp and block but same dist,,Nal Jal,No work done,1,Yes,Yes,Yes,Last 2-3 months,Yes,Last 2-3 months,Yes,3,Yes,1,Yes,1,No,0,4,3,3,1,No,No,No,Spillover
Self,Postgard,Hindu,Married,EBC,BC-1/113/बढई,No,No,,No,,No,Yes,HH business,Yes,Yes,Yes,Yes,PHED,,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Other gp and block but same dist,,No work done,Nali gali,1,Yes,Yes,Yes,Didn't speak,Yes,Last 2-3 months,Yes,3,Yes,1,No,1,Yes,1,0,3,2,1,No,No,No,Treatment
Child,Undergrad,Prefer not say,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,No,,No,,No,Yes,HH service business,Yes,Yes,Yes,No,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Other GP but same block,2,Shauchalaya,No work done,1,Yes,Yes,No,Last 6 months,Yes,Last 2-3 months,Yes,3,Yes,1,No,1,No,0,0,3,3,1,No,No,No,Control
Self,Std 10,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Other GP but same block,,Nal Jal,No work done,1,Yes,No,Yes,Last week,No,Last 6 months,Yes,3,No,0,No,0,No,0,0,1,1,1,No,Yes,No,Treatment
Spouse,Never been to school,Hindu,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,No,,No,,No,No,Do nothing,No,Yes,No,,Nal Jal,No,Yes,WA number is different,No,"Yes, as i receive the message",No,Yes,same GP,2,No work done,No work done,2,Yes,No,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,1,1,0,0,No,No,No,Control
Spouse,Std 12,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,Yes,1,No,,No,Yes,Raise cattle,No,Yes,No,,PHED,,No,,,,,No,,,Nali gali,Nal Jal,1,Yes,Yes,Yes,Last 6 months,Yes,Didn't speak,Yes,2,No,0,No,0,No,0,2,2,4,2,No,No,No,Treatment
Spouse,Std 10,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,HH service business,No,Yes,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,2,Nal Jal,Nali gali,4,Yes,Yes,Yes,Didn't speak,No,Didn't speak,Yes,2,Yes,2,No,2,No,0,3,2,3,1,Yes,Yes,No,Spillover
Spouse,Undergrad,Hindu,Married,BC,"BC-2/20/बनिया-(सुढी,मोदक/मायरा, रोनियार, पनसारी, मोदी,कसेरा,केशरवानी, ठठेरा, कलवार(कलाल/एराकी),(वियाहुत कलवार),कमलापुरी वैश्यल,माहुरीवैश्यर, बंगी वैश्य (बंगाली बनिया),बर्नवाल, अग्रहरि वैश्य, वैश्य पोद्दार, कसौधन, गंधबनिक, बाथम वैश्य, गोलदार (पूर्वी/पश्चिम चंपारण), कमलापुरी वायल",No,No,,Yes,2,No,Yes,HH service business,Yes,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,No,,,No work done,No work done,1,Yes,Yes,Yes,Last 6 months,Yes,Didn't remember,No,0,No,0,No,0,No,0,2,2,2,2,No,No,No,Control
Self,Std 5,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,Yes,1,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,Yes,No,,,,,Yes,same GP,,Nal Jal,No Problem faced,1,No,Yes,No,Didn't speak,No,Didn't speak,Yes,2,No,0,No,0,No,0,3,1,1,1,No,No,No,Treatment
Self,Undergrad,Hindu,Married,GEN,भूमिहार,No,Yes,1,No,,No,Yes,Work on agri,Yes,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,Nal Jal,No Problem faced,1,Yes,Yes,No,Didn't speak,Yes,Didn't remember,Yes,2,No,0,No,0,No,0,2,1,2,3,Yes,Yes,Yes,Spillover
Spouse,Std 12,Hindu,Married,BC,BC-2/35/कुर्मी,No,Yes,1,No,,No,Yes,HH business,No,Yes,Yes,Yes,PHED,,Yes,same number,Yes,"Yes, as i receive the message",Yes,No,,,No work done,No work done,2,Yes,Yes,Yes,Last 6 months,Yes,Last 6 months,Yes,2,No,0,No,0,No,0,2,2,2,2,No,No,No,Treatment
Self,Std 10,Hindu,Married,SC,"SC/6/चमार, मोची",No,Yes,1,No,,No,Yes,NonAgri labor,No,Yes,No,,Nal Jal,No,Yes,WA number is different,No,"Yes, once or twice in a day",No,Yes,same GP,,Nali gali,Mnrega,1,Yes,Yes,No,Last 6 months,No,Last 2-3 months,Yes,3,No,0,No,0,No,0,0,1,2,0,Yes,Yes,No,Control
Spouse,Undergrad,Hindu,Married,SC,SC/21/पासी,Yes,No,,No,,No,Yes,Work on agri,No,Yes,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,2,No work done,Nal Jal,0,Yes,Yes,Yes,Last 6 months,Yes,Last 6 months,Yes,3,Yes,1,No,1,No,0,3,1,2,1,Yes,Yes,No,Spillover
Self,Std 10,Hindu,Married,GEN,ब्राह्मण,No,No,,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,Yes,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Anyone,,Nali gali,No work done,1,Yes,Yes,No,Last 2-3 months,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,1,1,0,Yes,No,No,Control
Spouse,Std 10,Hindu,Married,SC,"SC/20/पान, स्वासी",Yes,No,,No,,No,Yes,HH service business,No,Yes,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,2,Nali gali,No Problem faced,1,Yes,No,Yes,Lst month,Yes,Lst month,Yes,3,No,0,No,0,No,0,2,3,2,0,Yes,Yes,No,Control
Self,Std 5,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,HH service business,No,Yes,Yes,No,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,No work done,No work done,0,Yes,Yes,No,Didn't speak,No,Lst month,Yes,3,No,0,No,0,No,0,4,1,2,1,No,No,No,Control
Self,Std 6,Muslim,Married,EBC,BC-1/94/मोमिन (मुस्लिम) (जुलाहा/अंसारी),No,No,,No,,No,No,Work on agri,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Other GP but same block,,No work done,Mnrega,1,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,4,3,2,0,Yes,Yes,No,Spillover
Brother/Brother in law,Std 5,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,No work done,Nal Jal,1,Yes,Yes,No,Didn't speak,No,Last 6 months,Yes,3,Yes,1,No,1,No,0,0,2,3,0,Yes,Yes,No,Control
Self,Undergrad,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,Yes,2,No,Yes,Work on agri,No,Yes,No,,Nal Jal,Yes,No,,,,,Yes,Anyone,2,No work done,No work done,1,Yes,Yes,No,Didn't speak,No,Last 2-3 months,Yes,3,No,0,No,0,No,0,4,1,2,0,Yes,Yes,No,Spillover
Child,Std 8,Hindu,Married,GEN,भूमिहार,No,Yes,1,No,,No,Yes,HH business,No,Yes,No,,Nal Jal,Yes,Yes,WA number is different,Yes,"Yes, once or twice in a day",No,No,,,Nali gali,No Problem faced,1,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,2,Yes,1,No,1,No,0,3,2,3,2,Yes,Yes,No,Treatment
Self,Std 7,Hindu,Married,SC,SC/18/मुसहर,Yes,Yes,1,No,,No,No,Do nothing,No,Yes,No,,PHED,,No,,,,,Yes,same GP,Yes,No work done,Nali gali,1,Yes,No,No,Last 2-3 months,No,Didn't speak,Yes,1,No,0,No,0,No,0,1,1,1,3,No,No,No,Control
Self,Std 9,Hindu,Married,EBC,BC-1/42/नोनिया,No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",Yes,Yes,same GP,,Nali gali,No work done,1,Yes,Yes,Yes,Last 2-3 months,Yes,Last 2-3 months,Yes,2,No,0,No,0,No,0,2,3,0,2,Yes,No,No,Spillover
Self,Std 2,Hindu,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,No,,No,,No,Yes,HH business,No,Yes,No,,PHED,,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,2,Nal Jal,Nali gali,1,Yes,Yes,No,Didn't speak,No,Didn't speak,Yes,1,Yes,1,No,1,No,0,3,1,0,0,No,No,No,Treatment
Self,Never been to school,Muslim,Married,BC,"BC-2/43/सुरजापुरी मुस्लिम(शेख, सैयद, मल्लिक, मोगल, पठान को छोडकर)(केवल पूर्णियाँ, कटिहार, किशनगंज एवं अररिया जिलों के लिए)",No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,Yes,No,,,,,Yes,same GP,,No work done,No work done,1,Yes,No,No,Didn't speak,No,Last 6 months,Yes,1,No,0,No,0,No,0,2,2,1,1,Yes,Yes,No,Spillover
Self,Std 12,Hindu,Married,GEN,भूमिहार,No,No,,No,,No,Yes,Work on agri,No,Yes,Yes,Yes,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,,Nali gali,Mnrega,1,Yes,Yes,No,Last 2-3 months,Yes,Last 6 months,Yes,1,No,0,No,0,No,0,5,3,1,2,No,No,No,Treatment
Brother/Brother in law,Undergrad,Hindu,Unmarried,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,Yes,1,Yes,2,Yes,Yes,Work on leased,No,Yes,Yes,Yes,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",Yes,Yes,Anyone,,Nal Jal,Nali gali,1,Yes,No,No,Didn't speak,No,Last 2-3 months,Yes,1,No,0,No,0,No,0,4,3,1,2,No,No,No,Control
Self,Std 10,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,Do nothing,No,Yes,No,,Nal Jal,No,No,,,,,Yes,same GP,2,No work done,No work done,2,Yes,Yes,No,Didn't speak,No,Didn't speak,No,0,No,0,No,0,No,0,5,1,1,0,Yes,No,No,Treatment
Spouse,Std 10,Hindu,Married,EBC,BC-1/6/कुर्मी (महतो) झारखंड स्वसशासी क्षेत्र,No,No,,No,,No,Yes,Work on agri,No,Yes,Yes,No,Nal Jal,No,No,,,,,Yes,Other GP but same block,,No work done,Nal Jal,1,Yes,Yes,Yes,Didn't speak,Yes,Lst month,Yes,3,Yes,1,No,0,No,0,4,2,3,2,No,Yes,No,Treatment
Child,Std 11,Hindu,Married,SC,SC/18/मुसहर,Yes,No,,No,,No,Yes,NonAgri labor,No,Yes,No,,No connection,,No,,,,,Yes,Other GP but same block,2,No work done,No work done,0,Yes,Yes,No,Didn't speak,Yes,Lst month,Yes,3,No,0,No,0,No,0,4,2,0,1,No,No,No,Spillover
Spouse,Std 10,Hindu,Married,BC,"BC-2/46/गोस्वामी , सन्यासी, अतिथ/अथित , गोसाई, जति/यती",No,Yes,1,No,,Yes,Yes,Work on leased,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,,Nali gali,Nal Jal,1,Yes,Yes,No,Didn't speak,Yes,Last 2-3 months,Yes,3,Yes,1,No,0,No,0,5,2,2,1,Yes,No,No,Control
Child,Undergrad,Hindu,Unmarried,SC,"SC/11/दुसाध, धारी, धारही",Yes,No,,No,,No,Yes,Agri labor,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,Anyone,2,No work done,Nali gali,1,Yes,Yes,No,Didn't speak,No,More than 6 months,Yes,3,Yes,1,No,0,No,0,0,3,2,1,No,No,No,Control
Child,Undergrad,Hindu,Unmarried,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,Work on agri,Yes,Yes,Yes,Yes,Nal Jal,Yes,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,2,No work done,No work done,2,Yes,Yes,No,Didn't speak,Yes,Last 2-3 months,Yes,2,Yes,1,No,0,No,0,4,4,3,2,No,No,No,Spillover
Self,Std 3,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,HH service business,No,Yes,No,,PHED,,No,,,,,Yes,Anyone,2,Nali gali,Solar light,1,Yes,Yes,No,Last week,No,Lst month,Yes,2,No,0,No,0,No,0,0,1,3,1,Yes,No,No,Control
Self,Never been to school,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,Agri labor,No,Yes,No,,Nal Jal,Yes,No,,,,,Yes,Anyone,2,Nal Jal,Nali gali,2,Yes,No,No,Didn't speak,No,Last 2-3 months,Yes,1,No,0,No,0,No,0,0,2,3,1,No,No,No,Treatment
Spouse,Std 8,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,NonAgri labor,No,Yes,No,,PHED,,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,2,No work done,Nali gali,2,Yes,Yes,No,Didn't speak,Yes,Last 2-3 months,Yes,2,No,0,No,0,No,0,0,2,3,0,Yes,No,No,Treatment
Spouse,Std 10,Hindu,Married,SC,"SC/11/दुसाध, धारी, धारही",Yes,No,,No,,No,Yes,Work on leased,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,No,,,No work done,No work done,1,Yes,No,No,Last 2-3 months,No,Didn't speak,Yes,2,Yes,1,No,0,No,0,0,1,2,1,No,No,No,Control
Self,Std 12,Hindu,Married,GEN,ब्राह्मण,No,No,,No,,No,Yes,Work on agri,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,Anyone,,No work done,No work done,1,Yes,No,No,Didn't speak,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,2,2,1,Yes,Yes,No,Control
Self,Std 12,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,HH service business,Yes,Yes,Yes,No,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",No,Yes,same GP,,No work done,No work done,1,Yes,Yes,No,Didn't remember,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,3,3,1,Yes,No,No,Spillover
Spouse,Never been to school,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,,No work done,No work done,1,No,No,No,Didn't speak,No,Didn't speak,Yes,2,No,0,No,0,No,0,0,1,3,1,No,No,No,Control
Self,Std 8,Hindu,Married,SC,"SC/10/डोम , धनगड",Yes,No,,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,No,No,,,,,No,,,Nal Jal,Nal Jal,2,Yes,No,No,Didn't speak,No,Didn't speak,Yes,3,No,0,No,0,No,0,0,1,0,0,No,No,No,Control
Spouse,Never been to school,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,Yes,2,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,No,No,,,,,Yes,same GP,,Nal Jal,Nali gali,1,No,No,No,Didn't speak,No,Last 2-3 months,Yes,3,No,0,No,0,No,0,0,2,1,1,No,No,No,Control
Self,Std 8,Hindu,Married,EBC,BC-1/64/मल्लाह,No,No,,No,,No,Yes,HH service business,No,Yes,No,,Nal Jal,No,No,,,,,Yes,same GP,,No work done,Nali gali,1,Yes,Yes,No,Didn't speak,No,Last 2-3 months,No,0,No,0,No,0,No,0,2,1,1,0,No,No,No,Control
Spouse,Std 9,Hindu,Married,EBC,BC-1/113/बढई,No,No,,No,,No,Yes,HH service business,No,Yes,No,,No connection,,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,,No work done,Nali gali,0,Yes,Yes,No,Last 6 months,Yes,Last 2-3 months,Yes,3,No,0,Yes,1,No,0,5,2,3,1,Yes,Yes,No,Spillover
Spouse,Undergrad,Hindu,Married,BC,"BC-2/22/यादव- (ग्वाला, अहीर, गोरा, घासी, मेहर, सदगोप, लक्ष्मी नारायण गोला)",No,No,,No,,No,Yes,Agri labor,Yes,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, as i receive the message",Yes,Yes,Other GP but same block,,No work done,No work done,1,Yes,Yes,No,Didn't speak,Yes,Lst month,Yes,3,No,0,No,0,No,0,5,2,0,1,Yes,Yes,No,Control
Spouse,Undergrad,Hindu,Married,SC,"SC/6/चमार, मोची",Yes,No,,No,,No,Yes,Service (pvt),Yes,Yes,No,,Nal Jal,No,Yes,same number,Yes,"Yes, once or twice in a day",No,Yes,same GP,2,No work done,No Problem faced,1,Yes,Yes,No,Didn't speak,Yes,Last week,Yes,3,No,0,No,0,Yes,1,5,1,1,0,No,No,No,Control
